ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
8,8,1,32,256,50,1,5242880,20,4,6,86.049,5224.94,2.42
8,8,2,32,1024,30,3,20971520,20,4,6,238.027,1888.86,2.63
8,8,2,96,1024,50,1,1048576,20,4,6,257.928,1743.12,2.40
8,8,2,128,256,256,4,52428800,20,4,6,98.871,4547.34,2.16
8,8,2,224,1024,10,4,5242880,20,4,6,282.670,1590.55,2.93
8,8,3,224,1024,30,2,20971520,20,4,6,377.607,1190.65,2.51
8,8,4,160,256,256,3,5242880,20,4,6,120.926,3717.98,2.15
8,8,4,224,1024,256,1,1048576,20,4,6,481.429,933.88,2.16
8,8,5,96,1024,30,2,20971520,20,4,6,495.267,907.79,2.50
8,8,5,128,1024,10,2,52428800,20,4,6,463.255,970.52,2.83
8,8,5,160,256,50,4,1048576,20,4,6,132.746,3386.92,2.43
8,8,5,192,256,30,2,1048576,20,4,6,142.272,3160.15,2.48
8,8,5,192,1024,50,2,1048576,20,4,6,502.374,894.95,2.44
8,12,3,64,256,50,3,2097152,20,4,6,136.560,3292.33,2.35
8,12,4,64,256,10,4,20971520,20,4,6,155.288,2895.27,2.75
8,12,4,96,256,10,3,1048576,20,4,6,139.113,3231.91,2.67
8,12,4,192,256,10,3,52428800,20,4,6,140.071,3209.80,2.67
8,12,4,192,256,30,1,2097152,20,4,6,140.683,3195.84,2.42
8,12,4,192,256,50,2,20971520,20,4,6,141.608,3174.96,2.29
8,12,4,256,1024,30,1,20971520,20,4,6,496.395,905.73,2.39
8,12,5,192,256,10,1,5242880,20,4,6,163.786,2745.05,2.71
8,16,1,96,256,30,2,52428800,20,4,6,88.755,5065.64,2.43
8,16,1,96,256,256,4,52428800,20,4,6,79.355,5665.69,2.15
8,16,1,96,1024,256,1,10485760,20,4,6,226.234,1987.32,2.18
8,16,1,128,256,256,2,5242880,20,4,6,95.494,4708.15,2.15
8,16,2,32,256,10,4,52428800,20,4,6,105.480,4262.42,2.78
8,16,2,64,1024,10,4,10485760,20,4,6,396.397,1134.21,2.88
8,16,3,192,1024,256,2,1048576,20,4,6,472.708,951.11,2.11
8,16,3,224,1024,30,4,5242880,20,4,6,502.880,894.05,2.64
8,16,4,32,1024,256,2,52428800,20,4,6,542.488,828.77,2.11
8,16,4,64,256,50,4,10485760,20,4,6,180.962,2484.50,2.37
8,20,2,64,256,10,3,52428800,20,4,6,124.379,3614.76,2.73
8,20,2,224,256,256,4,2097152,20,4,6,130.633,3441.71,2.11
8,20,3,192,1024,30,3,20971520,20,4,6,511.502,878.98,2.45
8,20,4,64,256,50,4,1048576,20,4,6,200.007,2247.92,2.36
8,20,4,128,256,30,2,5242880,20,4,6,164.013,2741.25,2.40
8,20,4,128,1024,256,1,52428800,20,4,6,616.227,729.60,2.06
8,20,4,160,1024,10,2,10485760,20,4,6,591.068,760.65,2.72
8,20,4,192,256,30,3,2097152,20,4,6,174.101,2582.41,2.41
8,20,5,64,1024,10,2,5242880,20,4,6,927.913,484.52,2.72
8,24,1,192,256,256,1,10485760,20,4,6,104.744,4292.37,2.15
8,24,2,256,1024,50,1,2097152,20,4,6,426.570,1053.99,2.30
8,24,3,64,1024,30,2,10485760,20,4,6,678.613,662.52,2.38
8,24,3,160,1024,10,3,20971520,20,4,6,529.923,848.42,2.68
8,24,3,256,1024,30,3,20971520,20,4,6,573.133,784.46,2.50
8,24,4,96,256,30,1,5242880,20,4,6,188.634,2383.45,2.43
8,24,4,192,1024,50,1,10485760,20,4,6,722.825,622.00,2.28
8,24,4,224,256,50,3,5242880,20,4,6,205.673,2185.99,2.34
8,24,4,256,256,50,2,5242880,20,4,6,195.460,2300.21,2.31
8,24,5,32,1024,256,4,5242880,20,4,6,819.307,548.75,2.16
8,24,5,64,1024,10,2,10485760,20,4,6,1019.571,440.97,2.63
8,24,5,224,1024,30,4,20971520,20,4,6,947.968,474.27,2.57
8,24,5,224,1024,50,1,52428800,20,4,6,946.500,475.01,2.28
8,32,1,96,256,30,2,5242880,20,4,6,100.740,4462.98,2.41
8,32,1,224,1024,10,2,20971520,20,4,6,330.529,1360.24,2.76
8,32,2,32,256,10,1,52428800,20,4,6,134.136,3351.82,2.92
8,32,2,32,1024,50,2,2097152,20,4,6,458.931,979.67,2.29
8,32,3,256,256,256,4,1048576,20,4,6,191.504,2347.73,2.10
8,32,4,192,1024,256,2,52428800,20,4,6,876.158,513.15,2.14
8,32,4,224,1024,256,2,10485760,20,4,6,960.324,468.17,2.14
8,32,5,192,256,30,2,5242880,20,4,6,262.168,1714.93,2.40
8,48,1,32,1024,256,1,10485760,20,4,6,370.300,1214.15,2.15
8,48,1,224,256,256,1,20971520,20,4,6,131.887,3408.98,2.14
8,48,3,96,256,10,1,52428800,20,4,6,230.140,1953.59,2.81
8,48,3,160,1024,50,3,1048576,20,4,6,839.694,535.43,2.34
8,48,3,224,1024,10,4,5242880,20,4,6,981.138,458.24,2.86
8,48,4,96,256,30,3,5242880,20,4,6,285.650,1573.95,2.35
8,48,4,192,256,30,4,1048576,20,4,6,293.211,1533.37,2.41
8,48,5,32,1024,30,4,10485760,20,4,6,1281.810,350.75,2.55
8,48,5,160,256,50,1,1048576,20,4,6,333.799,1346.92,2.25
8,72,1,192,256,50,1,1048576,20,4,6,138.693,3241.69,2.31
8,72,2,96,1024,50,2,52428800,20,4,6,848.430,529.92,2.31
8,72,3,160,256,10,1,5242880,20,4,6,291.444,1542.66,2.89
8,72,4,96,1024,10,3,5242880,20,4,6,1544.430,291.11,2.82
8,72,5,64,256,256,3,5242880,20,4,6,594.475,756.29,2.05
8,72,5,128,256,50,2,20971520,20,4,6,453.447,991.51,2.25
12,8,2,128,1024,256,2,5242880,20,4,6,259.468,1732.78,2.26
12,8,2,224,256,50,1,2097152,20,4,6,93.106,4828.91,2.40
12,8,3,160,256,256,3,2097152,20,4,6,114.867,3914.10,2.20
12,8,3,224,256,10,2,52428800,20,4,6,111.023,4049.62,2.80
12,8,4,128,1024,256,3,2097152,20,4,6,414.751,1084.02,2.27
12,12,1,32,256,50,3,5242880,20,4,6,67.872,6624.24,2.47
12,12,1,64,256,50,3,10485760,20,4,6,72.565,6195.83,2.47
12,12,1,224,1024,30,4,52428800,20,4,6,223.149,2014.80,2.72
12,12,2,32,256,50,4,5242880,20,4,6,99.698,4509.62,2.42
12,12,2,192,1024,30,2,2097152,20,4,6,304.357,1477.21,2.48
12,12,4,128,1024,256,2,1048576,20,4,6,489.191,919.07,2.20
12,12,4,256,256,30,1,10485760,20,4,6,143.864,3125.18,2.46
12,12,4,256,1024,256,1,20971520,20,4,6,518.719,866.75,2.17
12,12,5,64,256,50,3,52428800,20,4,6,188.861,2380.59,2.41
12,12,5,96,1024,50,2,52428800,20,4,6,593.471,757.57,2.34
12,12,5,128,1024,10,3,52428800,20,4,6,555.479,809.39,2.84
12,16,1,64,256,10,1,2097152,20,4,6,95.859,4690.23,2.71
12,16,1,64,256,50,1,2097152,20,4,6,82.338,5460.43,2.35
12,16,1,128,256,50,3,1048576,20,4,6,90.447,4970.87,2.42
12,16,3,64,256,10,2,5242880,20,4,6,140.289,3204.82,2.69
12,16,3,64,1024,256,4,10485760,20,4,6,573.657,783.74,2.20
12,20,1,64,256,256,3,10485760,20,4,6,98.141,4581.17,2.19
12,20,1,64,256,256,3,20971520,20,4,6,104.266,4312.05,2.19
12,20,1,64,256,256,4,2097152,20,4,6,105.786,4250.09,2.19
12,20,1,96,256,50,3,52428800,20,4,6,93.438,4811.75,2.44
12,20,1,96,1024,30,4,2097152,20,4,6,245.470,1831.59,2.61
12,20,1,128,1024,256,1,10485760,20,4,6,243.218,1848.55,2.18
12,20,1,256,256,256,4,1048576,20,4,6,97.277,4621.86,2.19
12,20,2,32,1024,10,1,52428800,20,4,6,358.391,1254.49,2.90
12,20,3,32,1024,30,1,52428800,20,4,6,483.605,929.68,2.45
12,20,5,64,256,50,1,5242880,20,4,6,241.889,1858.70,2.33
12,20,5,128,1024,30,2,5242880,20,4,6,723.509,621.41,2.45
12,24,1,160,256,256,2,10485760,20,4,6,101.144,4445.15,2.14
12,24,1,160,1024,10,1,10485760,20,4,6,249.374,1802.91,2.80
12,24,1,192,1024,256,3,20971520,20,4,6,275.538,1631.72,2.22
12,24,3,96,256,50,3,10485760,20,4,6,155.754,2886.60,2.34
12,24,3,96,1024,256,1,1048576,20,4,6,588.043,764.57,2.09
12,24,4,96,256,30,2,20971520,20,4,6,187.888,2392.92,2.37
12,24,4,160,256,30,1,52428800,20,4,6,183.425,2451.14,2.39
12,24,5,32,256,30,1,52428800,20,4,6,210.600,2134.85,2.39
12,32,1,32,256,50,2,1048576,20,4,6,100.345,4480.55,2.35
12,32,2,128,256,256,3,20971520,20,4,6,145.017,3100.33,2.10
12,32,2,224,1024,10,4,5242880,20,4,6,547.628,820.99,2.88
12,32,3,64,1024,30,2,1048576,20,4,6,830.697,541.23,2.39
12,32,3,160,256,50,4,20971520,20,4,6,170.116,2642.90,2.36
12,32,5,32,1024,50,2,2097152,20,4,6,967.501,464.70,2.31
12,48,1,256,1024,256,4,10485760,20,4,6,413.959,1086.10,2.27
12,48,2,64,1024,10,3,5242880,20,4,6,787.776,570.72,2.70
12,48,2,224,256,30,1,10485760,20,4,6,189.648,2370.71,2.43
12,48,2,224,1024,256,4,1048576,20,4,6,727.863,617.70,2.22
12,48,3,96,1024,10,2,5242880,20,4,6,886.693,507.05,2.75
12,48,3,256,1024,256,3,52428800,20,4,6,904.632,496.99,2.17
12,48,4,32,256,30,3,5242880,20,4,6,272.626,1649.14,2.45
12,48,4,64,1024,30,1,2097152,20,4,6,1399.502,321.25,2.42
12,48,5,160,1024,50,4,2097152,20,4,6,1302.320,345.23,2.46
12,48,5,192,1024,10,2,1048576,20,4,6,1392.992,322.75,2.79
12,72,2,32,256,10,1,10485760,20,4,6,206.875,2173.29,2.77
12,72,3,128,1024,256,2,20971520,20,4,6,1158.378,388.12,2.13
12,72,3,192,256,30,1,10485760,20,4,6,307.163,1463.72,2.41
12,72,3,256,256,50,3,1048576,20,4,6,315.375,1425.60,2.34
12,72,4,160,1024,50,3,52428800,20,4,6,1460.398,307.86,2.38
12,72,4,192,1024,30,3,10485760,20,4,6,1551.251,289.83,2.47
12,72,5,32,1024,256,4,5242880,20,4,6,1787.562,251.51,2.21
16,8,1,160,1024,50,3,1048576,20,4,6,190.075,2365.38,2.43
16,8,3,256,256,256,1,5242880,20,4,6,120.149,3742.02,2.12
16,12,1,192,1024,10,4,52428800,20,4,6,213.151,2109.30,2.84
16,12,2,128,256,50,2,5242880,20,4,6,104.560,4299.93,2.27
16,12,3,32,1024,30,1,1048576,20,4,6,387.655,1159.79,2.46
16,12,3,160,1024,30,4,5242880,20,4,6,389.417,1154.54,2.54
16,12,4,64,256,256,3,20971520,20,4,6,172.492,2606.50,2.07
16,12,5,160,256,30,3,20971520,20,4,6,155.985,2882.33,2.39
16,16,1,96,1024,256,2,10485760,20,4,6,245.272,1833.07,2.15
16,16,1,128,256,10,1,5242880,20,4,6,92.945,4837.28,2.93
16,16,2,256,256,30,3,1048576,20,4,6,111.403,4035.80,2.42
16,16,5,64,1024,30,1,5242880,20,4,6,855.605,525.47,2.42
16,20,2,224,1024,256,4,2097152,20,4,6,455.602,986.82,2.16
16,20,3,192,1024,10,2,2097152,20,4,6,524.958,856.45,2.69
16,20,4,96,256,50,2,52428800,20,4,6,175.984,2554.78,2.18
16,20,4,256,256,256,2,10485760,20,4,6,192.819,2331.72,2.04
16,20,5,32,1024,50,3,52428800,20,4,6,731.278,614.81,2.27
16,20,5,128,1024,50,4,10485760,20,4,6,732.204,614.03,2.39
16,24,1,192,1024,50,1,20971520,20,4,6,274.395,1638.51,2.32
16,24,3,128,256,30,4,20971520,20,4,6,147.497,3048.20,2.36
16,24,4,96,1024,30,1,5242880,20,4,6,722.074,622.65,2.39
16,24,4,160,1024,50,1,52428800,20,4,6,693.284,648.50,2.30
16,24,5,64,256,256,4,52428800,20,4,6,284.100,1582.54,2.05
16,24,5,256,256,10,2,20971520,20,4,6,226.215,1987.49,2.66
16,32,1,32,256,30,4,1048576,20,4,6,88.511,5079.60,2.39
16,32,1,192,256,256,1,10485760,20,4,6,111.387,4036.38,2.10
16,32,1,224,1024,10,4,20971520,20,4,6,350.064,1284.33,2.70
16,32,1,256,1024,50,3,20971520,20,4,6,327.098,1374.51,2.30
16,32,2,64,256,30,1,5242880,20,4,6,161.447,2784.82,2.38
16,32,2,192,1024,256,3,5242880,20,4,6,527.130,852.92,2.12
16,32,3,96,1024,10,2,5242880,20,4,6,679.860,661.31,2.64
16,32,3,128,256,50,3,10485760,20,4,6,176.160,2552.23,2.29
16,32,3,128,1024,30,4,1048576,20,4,6,653.054,688.45,2.45
16,32,3,192,1024,10,3,5242880,20,4,6,692.125,649.59,2.70
16,32,4,32,1024,10,1,52428800,20,4,6,809.388,555.48,2.81
16,32,4,64,1024,256,1,52428800,20,4,6,1085.060,414.35,2.04
16,32,4,96,256,256,3,1048576,20,4,6,235.612,1908.22,2.08
16,32,4,160,256,30,1,5242880,20,4,6,213.407,2106.77,2.34
16,32,5,96,1024,256,2,5242880,20,4,6,1064.034,422.54,2.07
16,32,5,128,256,30,4,5242880,20,4,6,249.814,1799.74,2.35
16,32,5,192,1024,30,4,52428800,20,4,6,1041.052,431.87,2.42
16,32,5,224,256,50,3,52428800,20,4,6,297.300,1512.28,2.27
16,48,1,160,256,30,2,10485760,20,4,6,101.548,4427.47,2.37
16,48,1,192,1024,10,4,1048576,20,4,6,385.839,1165.25,2.80
16,48,2,64,256,30,4,1048576,20,4,6,206.403,2178.26,2.38
16,48,2,96,256,30,1,52428800,20,4,6,175.914,2555.79,2.35
16,48,2,224,1024,30,1,2097152,20,4,6,730.197,615.72,2.38
16,48,4,32,256,10,4,5242880,20,4,6,268.911,1671.93,2.63
16,48,5,32,1024,30,2,5242880,20,4,6,1296.801,346.70,2.35
16,48,5,192,1024,10,3,20971520,20,4,6,1382.169,325.28,2.74
16,48,5,224,256,50,4,10485760,20,4,6,390.861,1150.28,2.33
16,72,1,96,256,10,2,5242880,20,4,6,142.322,3159.04,2.58
16,72,1,128,1024,30,4,10485760,20,4,6,478.312,939.97,2.51
16,72,3,128,1024,256,2,5242880,20,4,6,1141.746,393.78,2.03
16,72,4,96,1024,10,3,10485760,20,4,6,1559.539,288.29,2.57
16,72,5,32,256,30,1,10485760,20,4,6,449.162,1000.97,2.30
16,72,5,32,256,50,3,52428800,20,4,6,450.247,998.56,2.20
16,72,5,64,1024,30,4,10485760,20,4,6,2354.056,190.98,2.48
20,8,1,32,1024,10,2,1048576,20,4,6,197.845,2272.49,2.79
20,8,1,32,1024,10,4,52428800,20,4,6,193.238,2326.66,2.83
20,8,1,96,1024,50,3,52428800,20,4,6,207.563,2166.09,2.49
20,8,2,96,1024,10,3,5242880,20,4,6,294.436,1526.99,2.78
20,8,2,224,1024,50,2,5242880,20,4,6,330.336,1361.04,2.46
20,8,2,224,1024,256,3,5242880,20,4,6,346.209,1298.64,2.19
20,8,3,64,1024,10,2,10485760,20,4,6,445.120,1010.06,2.88
20,8,3,64,1024,50,4,2097152,20,4,6,448.308,1002.88,2.50
20,8,3,224,1024,30,1,52428800,20,4,6,412.728,1089.33,2.48
20,8,3,224,1024,30,3,5242880,20,4,6,416.957,1078.29,2.49
20,8,4,192,1024,10,4,10485760,20,4,6,455.482,987.08,2.90
20,8,4,224,1024,256,2,10485760,20,4,6,522.016,861.27,2.17
20,8,5,128,256,50,1,1048576,20,4,6,144.957,3101.61,2.31
20,12,1,128,1024,30,4,1048576,20,4,6,218.166,2060.82,2.55
20,12,1,256,256,256,1,52428800,20,4,6,80.191,5606.62,2.08
20,12,2,64,1024,30,3,5242880,20,4,6,404.743,1110.83,2.40
20,12,2,192,1024,10,3,2097152,20,4,6,332.435,1352.44,2.72
20,12,2,192,1024,256,1,5242880,20,4,6,357.988,1255.91,2.07
20,12,3,64,256,30,1,5242880,20,4,6,143.814,3126.26,2.34
20,12,3,192,256,50,2,10485760,20,4,6,128.697,3493.48,2.26
20,12,3,192,256,256,3,52428800,20,4,6,137.580,3267.92,2.06
20,12,3,192,1024,256,2,2097152,20,4,6,448.070,1003.41,2.12
20,12,4,160,1024,10,4,52428800,20,4,6,502.941,893.94,2.78
20,12,5,128,256,10,4,10485760,20,4,6,161.578,2782.56,2.73
20,12,5,160,256,30,2,20971520,20,4,6,163.989,2741.65,2.32
20,16,1,32,1024,50,1,10485760,20,4,6,236.955,1897.41,2.24
20,16,2,96,256,50,1,1048576,20,4,6,109.517,4105.30,2.26
20,16,3,64,1024,30,4,1048576,20,4,6,594.077,756.80,2.53
20,16,4,32,256,50,3,20971520,20,4,6,159.292,2822.49,2.33
20,16,4,32,256,256,1,10485760,20,4,6,167.634,2682.03,2.07
20,16,4,64,256,10,4,5242880,20,4,6,187.341,2399.90,2.67
20,16,4,64,256,10,4,20971520,20,4,6,185.908,2418.40,2.67
20,16,4,64,1024,50,2,52428800,20,4,6,735.720,611.10,2.24
20,16,5,192,1024,10,4,1048576,20,4,6,717.480,626.63,2.85
20,20,1,128,1024,256,3,5242880,20,4,6,266.253,1688.62,2.15
20,20,1,160,256,10,3,10485760,20,4,6,95.790,4693.61,2.63
